epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,32.2551,1.17392,1.65508,1.32458,0.47157,0.28302,0.34997,0.15592,1.50817,2.24483,1.87302,0.0012476,0.0012476,0.0012476
21,33.7711,1.07263,1.63564,1.26289,0.47157,0.28302,0.34997,0.15592,1.50817,2.24483,1.87302,0.001208,0.001208,0.001208
22,35.2703,1.11755,1.7177,1.32401,0.47157,0.28302,0.34997,0.15592,1.50817,2.24483,1.87302,0.0011684,0.0011684,0.0011684
23,36.7588,1.03006,1.53332,1.23456,0.16586,0.33962,0.13443,0.06223,1.85422,2.51095,2.04832,0.0011288,0.0011288,0.0011288
24,38.2092,1.0564,1.45965,1.26632,0.16586,0.33962,0.13443,0.06223,1.85422,2.51095,2.04832,0.0010892,0.0010892,0.0010892
25,39.7565,1.03027,1.43095,1.27089,0.16586,0.33962,0.13443,0.06223,1.85422,2.51095,2.04832,0.0010496,0.0010496,0.0010496
26,41.3349,1.15393,1.58703,1.31615,0.16586,0.33962,0.13443,0.06223,1.85422,2.51095,2.04832,0.00101,0.00101,0.00101
27,42.9505,1.04141,1.44843,1.29253,0.10656,0.33962,0.11392,0.06182,1.74003,2.6605,1.99635,0.0009704,0.0009704,0.0009704
28,44.9294,1.03377,1.4451,1.27372,0.10656,0.33962,0.11392,0.06182,1.74003,2.6605,1.99635,0.0009308,0.0009308,0.0009308
29,46.4222,0.96548,1.40598,1.26501,0.10656,0.33962,0.11392,0.06182,1.74003,2.6605,1.99635,0.0008912,0.0008912,0.0008912
30,47.8493,0.97643,1.33844,1.22574,0.10656,0.33962,0.11392,0.06182,1.74003,2.6605,1.99635,0.0008516,0.0008516,0.0008516
31,49.311,1.08894,1.92231,1.35418,0.17553,0.59051,0.16981,0.07681,1.50472,2.8687,1.89298,0.000812,0.000812,0.000812
32,50.9371,0.98289,1.39311,1.24868,0.17553,0.59051,0.16981,0.07681,1.50472,2.8687,1.89298,0.0007724,0.0007724,0.0007724
33,52.4691,0.92681,1.37597,1.16722,0.17553,0.59051,0.16981,0.07681,1.50472,2.8687,1.89298,0.0007328,0.0007328,0.0007328
34,54.0523,0.91091,1.46389,1.22092,0.30165,0.60377,0.28885,0.15982,1.32305,2.25602,1.65624,0.0006932,0.0006932,0.0006932
35,55.5669,0.89513,1.39582,1.25287,0.30165,0.60377,0.28885,0.15982,1.32305,2.25602,1.65624,0.0006536,0.0006536,0.0006536
36,57.052,0.97359,1.53499,1.26268,0.30165,0.60377,0.28885,0.15982,1.32305,2.25602,1.65624,0.000614,0.000614,0.000614
37,58.583,0.90648,1.32644,1.18218,0.30165,0.60377,0.28885,0.15982,1.32305,2.25602,1.65624,0.0005744,0.0005744,0.0005744
38,60.1607,0.8657,1.30411,1.17897,0.65798,0.54453,0.54601,0.34495,1.05766,1.71673,1.37043,0.0005348,0.0005348,0.0005348
39,61.6615,0.89888,1.33203,1.17383,0.65798,0.54453,0.54601,0.34495,1.05766,1.71673,1.37043,0.0004952,0.0004952,0.0004952
40,63.1655,0.82647,1.19997,1.15349,0.65798,0.54453,0.54601,0.34495,1.05766,1.71673,1.37043,0.0004556,0.0004556,0.0004556
41,71.6372,0.84008,1.47277,1.17595,0.65798,0.54453,0.54601,0.34495,1.05766,1.71673,1.37043,0.000416,0.000416,0.000416
42,73.2175,0.86159,1.5565,1.1977,0.71632,0.60377,0.6988,0.46839,0.96238,1.49041,1.27468,0.0003764,0.0003764,0.0003764
43,74.8361,0.87399,1.82329,1.24835,0.71632,0.60377,0.6988,0.46839,0.96238,1.49041,1.27468,0.0003368,0.0003368,0.0003368
44,76.3374,0.80747,1.17694,1.12508,0.71632,0.60377,0.6988,0.46839,0.96238,1.49041,1.27468,0.0002972,0.0002972,0.0002972
45,77.8525,0.78329,1.3007,1.104,0.71632,0.60377,0.6988,0.46839,0.96238,1.49041,1.27468,0.0002576,0.0002576,0.0002576
46,79.5115,0.84636,1.29227,1.1894,0.72675,0.77358,0.82308,0.60183,0.87279,1.28984,1.18524,0.000218,0.000218,0.000218
47,81.1299,0.71355,1.17647,1.05299,0.72675,0.77358,0.82308,0.60183,0.87279,1.28984,1.18524,0.0001784,0.0001784,0.0001784
48,82.6619,0.8807,1.36792,1.14556,0.72675,0.77358,0.82308,0.60183,0.87279,1.28984,1.18524,0.0001388,0.0001388,0.0001388
49,84.3126,0.67909,1.14496,1.06336,0.80893,0.79888,0.86148,0.63771,0.83835,1.2316,1.16568,9.92e-05,9.92e-05,9.92e-05
50,85.9977,0.73659,1.18141,1.07932,0.80893,0.79888,0.86148,0.63771,0.83835,1.2316,1.16568,5.96e-05,5.96e-05,5.96e-05
